ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
2024,Presidência da República,20101,Presidência da República,20000,"2.126.791.561,89","1.605.394.038,45","1.492.237.615,59"
2024,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"717.642.630,90","638.852.537,21","653.136.248,97"
2024,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"63.499.314,49","42.803.524,08","41.386.961,28"
2024,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"11.152.942,74","10.793.529,94","10.216.401,67"
2024,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"6.868.722.500,05","5.422.063.060,83","5.422.063.060,83"
2024,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"6.497.646.218,10","4.923.915.311,21","4.436.477.393,04"
2024,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"4.274.321.894,31","4.132.599.066,95","3.750.576.761,95"
2024,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"10.717.209.663,56","9.494.596.386,22","9.393.455.095,92"
2024,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"4.152.111.811,19","3.939.094.224,21","3.795.643.137,73"
2024,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"3.146.370.242,59","2.304.043.721,31","1.986.183.184,15"
2024,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.122.199.959,89","1.062.430.123,18","999.931.850,96"
2024,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"93.217.372,05","84.440.989,23","81.587.562,88"
2024,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"41.880.056,08","35.027.493,66","33.322.594,51"
2024,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.756.036,22","1.756.036,22","1.756.036,22"
2024,Ministério da Fazenda - Unidades com vínculo direto,25000,Ministério da Fazenda,25000,"2.496.340.598.608,96","2.452.178.155.051,67","2.451.509.464.328,55"
2024,Fundo Constitucional do Distrito Federal,25915,Ministério da Fazenda,25000,"23.371.555.913,88","22.798.917.997,41","22.219.693.002,45"
2024,Receita Federal do Brasil,25801,Ministério da Fazenda,25000,"2.149.636.443,03","1.886.251.413,93","1.675.370.747,38"
2024,Fundo de Garantia à Exportação,25914,Ministério da Fazenda,25000,"956.436.109,46","944.678.653,42","944.678.653,42"
2024,Superintendência de Seguros Privados,25208,Ministério da Fazenda,25000,"260.341.098,70","255.305.387,09","237.185.448,30"
2024,Fundo de Compensação de Variações Salariais,25901,Ministério da Fazenda,25000,"565.519.823,20","226.265.198,58","222.707.158,58"
2024,Comissão de Valores Mobiliários,25203,Ministério da Fazenda,25000,"233.098.174,11","213.812.700,31","194.219.058,80"
2024,Fundo de Estabilidade do Seguro Rural,25904,Ministério da Fazenda,25000,"18.794.436,03","18.769.159,07","18.803.915,53"
2024,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social,25201,"4.116.788.818,02","4.068.605.024,00","3.772.665.550,68"
2024,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,"94.588.918.368,01","77.786.388.029,39","77.721.908.268,51"
2024,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,"12.702.804.938,68","10.281.632.555,28","10.147.460.198,79"
2024,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,"4.934.135.644,19","4.204.316.101,74","4.194.625.210,57"
2024,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,"4.646.511.413,56","4.513.170.441,85","4.134.112.117,08"
2024,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,"2.987.603.078,36","2.870.060.902,49","2.618.667.501,99"
2024,Universidade Federal Fluminense,26236,Ministério da Educação,26000,"2.757.454.333,67","2.713.081.634,16","2.501.800.721,66"
2024,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,"2.469.873.599,73","2.434.683.160,96","2.218.343.803,82"
2024,Universidade Federal da Bahia,26232,Ministério da Educação,26000,"2.347.845.955,23","2.296.782.766,32","2.137.137.051,59"
